order_id,order_date,category,channel,quantity,revenue,cogs
NR-8238,2026-05-13,Home Goods,Web,1,71.98,36.54
NR-6587,2025-09-12,Apparel,Web,1,43.85,20.47
NR-8529,2026-06-24,Apparel,Retail Store,1,54.9,27.5
NR-7184,2025-12-23,Home Goods,Retail Store,1,76.41,41.75
NR-8011,2026-04-16,Home Goods,Retail Store,2,126.27,67.79
NR-6405,2025-08-14,Apparel,Retail Store,3,166.81,82.24
NR-7985,2026-04-23,Electronics,Web,3,641.58,468.43
NR-6266,2025-07-24,Outdoor,Web,3,301.83,157.81
NR-6428,2025-08-14,Beauty,Web,2,65.94,24.97
NR-5781,2025-05-27,Electronics,Marketplace,1,211.73,116.69
NR-5329,2025-02-11,Outdoor,Retail Store,3,309.91,158.52
NR-7714,2026-02-12,Outdoor,Web,1,104.63,53.91
NR-7234,2025-12-04,Apparel,Marketplace,2,98.39,47.73
NR-7489,2026-01-16,Beauty,Retail Store,1,37.27,15.61
NR-7845,2026-03-15,Apparel,Web,2,84.71,40.76
NR-6522,2025-09-17,Electronics,Web,3,764.08,408.97
NR-5297,2025-02-11,Beauty,Web,1,27.21,11.1
NR-5521,2025-03-16,Outdoor,Retail Store,2,199.94,102.0
NR-8421,2026-06-26,Electronics,Web,2,412.98,332.06
NR-7631,2026-02-09,Apparel,Web,3,168.34,81.05
NR-5769,2025-05-15,Electronics,Web,1,235.54,120.21
NR-8438,2026-06-07,Electronics,Web,2,403.04,311.99
NR-6107,2025-07-07,Electronics,Web,2,493.31,284.85
NR-7480,2026-01-10,Beauty,Retail Store,1,37.85,15.61
NR-5979,2025-06-15,Home Goods,Retail Store,2,114.44,58.74
NR-7380,2026-01-07,Home Goods,Web,1,61.14,32.65
NR-6969,2025-11-07,Home Goods,Marketplace,2,155.12,77.6
NR-6200,2025-07-08,Apparel,Web,1,53.74,25.32
NR-8606,2026-06-22,Outdoor,Web,3,317.91,161.74
NR-5006,2025-01-17,Electronics,Web,3,772.87,425.69
NR-5514,2025-03-27,Beauty,Web,1,37.38,14.85
NR-6057,2025-06-25,Beauty,Web,1,28.64,11.03
NR-6402,2025-08-21,Apparel,Web,3,140.17,63.89
NR-6403,2025-08-23,Apparel,Marketplace,3,170.82,81.08
NR-6316,2025-08-21,Electronics,Retail Store,2,453.15,265.38
NR-6724,2025-10-22,Electronics,Web,1,187.43,110.55
NR-5793,2025-05-05,Home Goods,Marketplace,2,150.51,78.27
NR-7738,2026-02-05,Outdoor,Web,3,295.3,143.33
NR-7518,2026-01-21,Outdoor,Retail Store,1,93.87,48.11
NR-6809,2025-10-21,Apparel,Web,3,159.67,76.13
NR-7098,2025-11-25,Outdoor,Web,3,332.05,163.25
NR-5653,2025-04-08,Apparel,Web,1,41.35,21.64
NR-6334,2025-08-03,Home Goods,Marketplace,1,75.28,40.6
NR-8113,2026-04-20,Beauty,Web,1,38.1,14.31
NR-5755,2025-05-15,Electronics,Web,1,204.54,107.52
NR-7927,2026-03-25,Outdoor,Web,2,217.8,112.5
NR-7213,2025-12-17,Apparel,Retail Store,3,172.7,82.68
NR-7214,2025-12-02,Apparel,Web,3,122.99,54.24
NR-5819,2025-05-10,Apparel,Web,2,87.23,39.68
NR-8437,2026-06-19,Electronics,Retail Store,3,610.38,481.89
NR-7629,2026-02-27,Apparel,Retail Store,2,107.51,49.65
NR-7119,2025-12-11,Electronics,Web,1,227.18,148.77
NR-7333,2026-01-21,Electronics,Web,3,650.87,417.76
NR-7245,2025-12-19,Beauty,Retail Store,3,87.74,34.52
NR-5752,2025-05-15,Electronics,Marketplace,2,477.99,264.07
NR-8131,2026-04-20,Beauty,Retail Store,1,38.24,14.25
NR-6518,2025-09-06,Electronics,Retail Store,1,211.06,115.09
NR-6533,2025-09-01,Electronics,Web,2,467.59,258.62
NR-6132,2025-07-21,Electronics,Marketplace,3,651.5,350.91
NR-6314,2025-08-12,Electronics,Marketplace,3,769.77,429.72
NR-5889,2025-05-27,Outdoor,Web,1,96.13,48.7
NR-5629,2025-04-24,Home Goods,Web,3,205.76,107.83
NR-5606,2025-04-15,Home Goods,Retail Store,2,127.79,62.56
NR-5938,2025-06-08,Electronics,Web,1,203.47,110.96
NR-5650,2025-04-09,Apparel,Web,2,115.12,60.17
NR-7381,2026-01-22,Home Goods,Web,2,155.72,84.82
NR-8349,2026-05-03,Beauty,Retail Store,3,100.45,37.76
NR-5321,2025-02-19,Beauty,Web,1,32.9,12.44
NR-5797,2025-05-07,Home Goods,Web,2,118.6,61.12
NR-5478,2025-03-11,Apparel,Retail Store,2,102.94,50.92
NR-7262,2025-12-16,Beauty,Retail Store,2,67.19,26.93
NR-5378,2025-03-13,Electronics,Web,2,522.75,288.25
NR-7976,2026-04-14,Electronics,Web,3,732.12,544.36
NR-7990,2026-04-25,Electronics,Web,2,516.26,392.74
NR-5637,2025-04-12,Home Goods,Marketplace,2,147.36,76.95
NR-7667,2026-02-06,Beauty,,2,64.34,26.77
NR-8195,2026-05-22,Electronics,Marketplace,3,670.67,525.97
NR-8396,2026-05-12,Outdoor,Web,2,216.62,112.93
NR-5621,2025-04-08,Home Goods,Web,1,71.51,36.95
NR-7613,2026-02-24,Home Goods,Marketplace,3,173.59,92.63
NR-6317,2025-08-14,Electronics,Retail Store,2,427.28,251.62
NR-7099,2025-11-21,Outdoor,Retail Store,1,107.56,55.11
NR-7174,2025-12-13,Home Goods,Retail Store,2,118.66,61.21
NR-6618,2025-09-02,Beauty,Marketplace,1,33.12,12.73
NR-7233,2025-12-13,Apparel,Retail Store,3,131.85,58.78
NR-6628,2025-09-25,Beauty,Retail Store,1,34.88,13.76
NR-7277,2025-12-11,Beauty,Web,1,28.95,11.81
NR-5175,2025-01-15,Outdoor,Retail Store,3,255.72,131.88
NR-7065,2025-11-19,Beauty,Web,1,29.05,11.49
NR-5887,2025-05-11,Outdoor,Web,3,328.63,161.26
NR-6720,2025-10-07,Electronics,Retail Store,3,573.22,335.42
NR-7824,2026-03-03,Home Goods,Retail Store,2,138.55,71.46
NR-7902,2026-03-01,Beauty,Marketplace,3,88.38,33.22
NR-8568,2026-06-06,Beauty,Web,3,114.81,43.96
NR-5406,2025-03-20,Home Goods,Web,2,142.67,75.39
NR-7701,2026-02-06,Beauty,Web,1,35.44,13.99
NR-5231,2025-02-14,Home Goods,Web,1,66.88,33.82
NR-6250,2025-07-05,Beauty,Web,3,103.82,42.87
NR-5626,2025-04-19,Home Goods,Retail Store,3,182.4,94.11
NR-6178,2025-07-26,Home Goods,Retail Store,2,120.66,59.62
NR-7733,2026-02-13,Outdoor,Web,2,219.25,107.35
NR-5448,2025-03-22,Apparel,Marketplace,1,45.8,21.2
NR-5570,2025-04-26,Electronics,Web,1,205.18,113.45
NR-7659,2026-02-08,Apparel,Web,1,51.22,23.46
NR-7043,2025-11-25,Beauty,Marketplace,1,34.01,13.39
NR-5675,2025-04-23,Apparel,Marketplace,1,47.71,23.68
NR-5983,2025-06-07,Home Goods,Web,2,126.15,66.74
NR-6478,2025-08-06,Outdoor,Retail Store,3,256.21,125.25
NR-8194,2026-05-23,Electronics,Web,1,202.43,158.29
NR-8188,2026-05-24,Electronics,Web,1,208.32,163.13
NR-7789,2026-03-20,Home Goods,Web,3,188.51,95.44
NR-8598,2026-06-21,Outdoor,Web,3,258.71,127.08
NR-8387,2026-05-25,Outdoor,Retail Store,1,95.99,45.95
NR-6941,2025-11-23,Home Goods,Retail Store,3,216.16,116.43
NR-7765,2026-03-14,Electronics,Marketplace,1,197.6,142.75
NR-6964,2025-11-18,Home Goods,Web,2,151.92,81.12
NR-8388,2026-05-04,Outdoor,Marketplace,3,290.85,148.97
NR-5446,2025-03-14,Apparel,Web,3,157.34,74.08
NR-6419,2025-08-12,Beauty,Retail Store,1,29.55,11.44
NR-5150,2025-01-24,Outdoor,Marketplace,2,206.75,103.19
NR-7920,2026-03-05,Outdoor,Web,2,193.03,96.62
NR-7092,2025-11-13,Outdoor,Web,1,84.5,43.84
NR-8269,2026-05-03,Home Goods,Web,2,150.14,75.07
NR-6873,2025-10-15,Outdoor,Web,2,206.77,106.67
NR-7656,2026-02-13,Apparel,Web,3,159.39,77.09
NR-7783,2026-03-23,Electronics,Retail Store,1,216.77,159.11
NR-6517,2025-09-25,Electronics,Web,3,783.09,419.47
NR-8519,2026-06-07,Apparel,Retail Store,2,113.09,54.32
NR-6341,2025-08-19,Home Goods,Web,2,112.52,56.39
NR-6914,2025-11-22,Electronics,Retail Store,2,421.6,248.8
NR-8408,2026-06-27,Electronics,Retail Store,2,392.49,321.55
NR-7543,2026-01-18,Outdoor,Retail Store,1,107.13,52.5
NR-6089,2025-06-26,Outdoor,Web,-1,89.68,46.46
NR-6192,2025-07-23,Apparel,Web,3,131.09,64.08
NR-6904,2025-11-06,Electronics,Web,2,483.66,279.02
NR-5580,2025-04-11,Electronics,Web,3,622.83,335.59
NR-7602,2026-02-18,Home Goods,Retail Store,2,123.99,64.41
NR-7108,2025-11-26,Outdoor,Web,1,112.82,54.55
NR-7021,2025-11-14,Apparel,Web,1,54.18,27.54
NR-6039,2025-06-11,Beauty,Web,2,61.07,23.5
NR-7081,2025-11-13,Outdoor,Web,1,100.9,49.15
NR-5230,2025-02-27,Home Goods,Web,2,112.59,57.76
NR-5601,2025-04-22,Home Goods,Retail Store,3,226.66,110.37
NR-6946,2025-11-06,Home Goods,Web,1,70.31,37.29
NR-7317,2025-12-18,Outdoor,Retail Store,2,201.57,102.31
NR-5859,2025-05-15,Beauty,Retail Store,2,57.21,23.02
NR-5220,2025-02-19,Home Goods,Web,2,146.71,75.03
NR-6787,2025-10-10,Apparel,Web,1,46.87,21.96
NR-6619,2025-09-06,Beauty,Retail Store,2,73.46,28.85
NR-7560,2026-02-09,Electronics,Web,1,247.13,169.04
NR-7051,2025-11-25,Beauty,Web,3,94.14,38.96
NR-5651,2025-04-01,Apparel,Web,2,89.08,43.31
NR-5115,2025-01-01,Beauty,Web,3,105.55,41.21
NR-6275,2025-07-08,Outdoor,Retail Store,3,275.94,142.31
NR-7203,2025-12-06,Apparel,Web,1,55.48,26.82
NR-7830,2026-03-15,Home Goods,Web,3,168.15,86.11
NR-5246,2025-02-24,Home Goods,Marketplace,2,119.72,63.24
NR-5758,2025-05-09,Electronics,Web,2,471.04,241.65
NR-8100,2026-04-01,Beauty,Web,2,62.17,25.08
NR-5544,2025-03-17,Outdoor,Web,2,193.6,94.03
NR-5695,2025-04-10,Beauty,Retail Store,3,113.61,47.72
NR-8465,2026-06-14,Home Goods,Marketplace,1,67.35,35.97
NR-6218,2025-07-24,Apparel,Retail Store,1,53.78,27.6
NR-8224,2026-05-23,Electronics,Web,2,513.34,380.55
NR-5495,2025-03-06,Beauty,Web,2,56.48,23.43
NR-6006,2025-06-07,Apparel,Web,3,157.67,78.67
NR-8315,2026-05-11,Beauty,Web,2,75.21,30.39
NR-8121,2026-04-12,Beauty,Retail Store,1,34.2,13.94
NR-6286,2025-07-18,Outdoor,Web,2,165.58,80.22
NR-5945,2025-06-22,Electronics,Web,3,640.52,366.74
NR-7768,2026-03-06,Electronics,Marketplace,1,217.86,155.38
NR-6977,2025-11-06,Home Goods,Web,1,62.34,32.62
NR-8412,2026-06-23,Electronics,Web,1,236.77,194.44
NR-7694,2026-02-10,Beauty,Retail Store,2,73.84,29.69
NR-8205,2026-05-02,Electronics,Web,2,480.08,356.71
NR-5641,2025-04-13,Apparel,Retail Store,2,92.49,48.29
NR-5194,2025-02-26,Electronics,Web,1,212.53,111.28
NR-7200,2025-12-15,Apparel,Web,1,56.76,27.35
NR-8162,2026-04-15,Outdoor,Retail Store,2,187.22,94.07
NR-7120,2025-12-10,Electronics,Web,1,259.4,161.98
NR-6588,2025-09-20,Apparel,Web,1,41.45,20.16
NR-7024,2025-11-11,Apparel,Retail Store,2,104.05,51.41
NR-8567,2026-06-10,Beauty,Web,3,82.45,34.77
NR-5953,2025-06-15,Home Goods,Web,3,179.29,94.16
NR-5720,2025-04-25,Outdoor,Marketplace,3,324.79,162.06
NR-6795,2025-10-16,Apparel,Web,1,48.47,21.74
NR-7957,2026-03-07,Outdoor,Web,2,166.85,83.02
NR-8254,2026-05-24,Home Goods,Web,2,133.77,69.12
NR-8351,2026-05-07,Beauty,Web,1,35.52,13.37
NR-7662,2026-02-24,Apparel,Marketplace,1,47.41,21.3
NR-6995,2025-11-06,Apparel,Web,1,56.85,29.13
NR-7467,2026-01-13,Beauty,Web,3,111.04,45.99
NR-5668,2025-04-08,Apparel,Web,3,149.15,74.11
NR-6270,2025-07-16,Outdoor,Web,2,189.92,99.23
NR-7506,2026-01-03,Outdoor,Retail Store,1,111.52,54.57
NR-6271,2025-07-10,Outdoor,Web,1,103.08,49.77
NR-8002,2026-04-13,Home Goods,Web,1,76.89,38.78
NR-6103,2025-06-02,Outdoor,Marketplace,1,82.42,40.96
NR-8495,2026-06-09,Apparel,Web,2,92.05,46.06
NR-8600,2026-06-22,Outdoor,Web,1,112.13,58.51
NR-7309,2025-12-19,Outdoor,Web,2,226.89,114.32
NR-6758,2025-10-25,Home Goods,Retail Store,3,204.68,106.5
NR-8389,2026-05-15,Outdoor,Web,2,193.36,101.71
NR-5183,2025-01-22,Outdoor,Retail Store,2,169.24,83.68
NR-5838,2025-05-24,Apparel,Web,2,98.54,44.9
NR-8344,2026-05-10,Beauty,Retail Store,2,58.96,22.79
NR-7588,2026-02-09,Home Goods,Marketplace,3,182.44,95.26
NR-6987,2025-11-18,Apparel,Web,2,105.69,51.27
NR-7888,2026-03-23,Beauty,Web,2,57.13,22.16
NR-5896,2025-05-19,Outdoor,Web,1,86.68,44.83
NR-8509,2026-06-23,Apparel,Retail Store,2,99.59,47.82
NR-5232,2025-02-04,Home Goods,Marketplace,1,76.83,37.74
NR-5665,2025-04-18,Apparel,Web,3,128.0,65.15
NR-6730,2025-10-04,Electronics,Web,1,236.52,133.57
NR-7347,2026-01-27,Electronics,Web,1,248.15,169.35
NR-5342,2025-02-22,Outdoor,Retail Store,3,286.5,140.16
NR-8522,2026-06-16,Apparel,Web,3,139.83,66.65
NR-8178,2026-04-21,Outdoor,Retail Store,1,94.55,47.56
NR-7565,2026-02-02,Electronics,Web,2,522.57,332.42
NR-5589,2025-04-08,Electronics,Marketplace,1,263.77,147.98
NR-5338,2025-02-23,Outdoor,Web,-1,90.47,47.71
