response_id,satisfaction_score,nps,department,tenure_months
R-204,4,6,Operations,21
R-205,1,6,Support,64
R-206,3,3,Operations,55
R-207,4,5,Engineering,13
R-208,1,1,Support,59
R-209,5,3,Support,54
R-210,1,4,Support,25
R-211,1,2,Engineering,72
R-212,1,9,Engineering,55
R-213,1,9,Sales,33
R-214,1,7,Operations,57
R-215,4,4,Engineering,52
R-216,4,10,Sales,43
R-217,2,6,Operations,90
R-218,4,0,Sales,55
R-219,4,4,Operations,4
R-220,3,0,Support,40
