order_id,customer_id,order_date,sku,product_category,quantity,unit_price,status,shipped_date
O-5057,C-94,29-Jun-2026,sku-1033,Apparel,4,39.99,shipped,2026-07-01
O-5058,C-155,2026-05-14,SKU-1029,Electronics,4,24.99,shipped,2026-05-16
O-5059,C-14,08-Jun-2026,sku-1041,Apparel,4,89.99,shipped,2026-06-10
O-5060,C-98,2026-06-18,SKU-1074,Beauty,3,12.99,shipped,2026-06-22
O-5061,C-148,17-May-2026,SKU-1013,Beauty,2,12.99,checkout_started,
O-5062,C-203,06/15/2026,SKU-1056,Beauty,2,24.99,shipped,2026-06-20
O-5063,C-101,2026-06-27,SKU-1043,Home,2,89.99,shipped,2026-07-01
O-5064,C-159,2026-04-09,SKU-1030,Home,3,12.99,shipped,2026-04-10
O-5065,C-46,2026-04-15,SKU-1074,Home,4,39.99,cart_created,
O-5066,C-33,21-May-2026,SKU-1053,Apparel,1,12.99,payment,
O-5067,C-190,05/27/2026,SKU-1045,Electronics,4,59.99,shipped,2026-05-29
O-5068,C-136,2026-04-09,SKU-1069,Beauty,2,89.99,shipped,2026-04-11
O-5069,C-39,04/17/2026,SKU-1030,Electronics,3,12.99,shipped,2026-04-19
O-5070,C-181,16-Apr-2026,SKU-1034,Apparel,3,39.99,shipped,2026-04-21
O-5071,C-113,10-May-2026,SKU-1039,Home,2,89.99,shipped,2026-05-15
O-5072,C-131,2026-04-21,sku-1033,Beauty,3,12.99,shipped,2026-04-25
O-5073,C-164,06-Apr-2026,SKU-1037,Beauty,4,89.99,shipped,2026-04-11
O-5074,C-171,27-May-2026,SKU-1034,Electronics,2,89.99,shipped,2026-05-29
O-5075,C-108,06/13/2026,SKU-1076,Home,2,39.99,shipped,2026-06-16
O-5076,C-138,04/18/2026,SKU-1017,Electronics,2,24.99,checkout_started,
O-5077,C-42,2026-04-26,SKU-1045,Beauty,1,59.99,checkout_started,
O-5078,C-105,03-May-2026,SKU-1060,Apparel,4,24.99,checkout_started,
O-5079,C-172,2026-04-14,SKU-1030,Electronics,1,59.99,shipped,2026-04-16
O-5080,C-39,25-Apr-2026,SKU-1008,Apparel,1,39.99,shipped,2026-04-26
O-5081,C-29,04/16/2026,SKU-1027,Apparel,2,39.99,shipped,2026-04-18
O-5082,C-138,2026-05-19,SKU-1056,Electronics,4,12.99,payment,
O-5083,C-79,06/20/2026,SKU-1069,Home,4,59.99,shipped,2026-06-25
O-5084,C-168,05/15/2026,sku-1006,Electronics,2,59.99,shipped,2026-05-18
O-5085,C-186,2026-06-11,sku-1066,Apparel,1,89.99,payment,
O-5086,C-218,2026-06-13,SKU-1012,Electronics,3,59.99,payment,
O-5087,C-208,06-Apr-2026,SKU-1023,Apparel,3,59.99,checkout_started,
O-5088,C-31,2026-06-28,SKU-1053,Home,2,59.99,shipped,2026-07-02
O-5089,C-216,01-May-2026,SKU-1079,Home,4,59.99,payment,
O-5090,C-149,05/05/2026,SKU-1020,Apparel,3,39.99,shipped,2026-05-10
O-5091,C-114,2026-04-19,SKU-1045,Apparel,4,24.99,cart_created,
O-5092,C-163,16-Apr-2026,SKU-1027,Beauty,1,39.99,checkout_started,
O-5093,C-16,2026-05-08,SKU-1051,Apparel,3,89.99,shipped,2026-05-11
O-5094,C-44,05/13/2026,SKU-1058,Apparel,1,24.99,checkout_started,
O-5095,C-56,28-May-2026,SKU-1015,Home,2,12.99,shipped,2026-05-29
O-5096,C-19,07-May-2026,SKU-1001,Apparel,4,59.99,payment,
O-5097,C-187,06/22/2026,SKU-1051,Electronics,3,12.99,checkout_started,
O-5098,C-172,19-May-2026,SKU-1068,Apparel,4,89.99,shipped,2026-05-20
O-5099,C-180,17-Apr-2026,SKU-1008,Apparel,3,59.99,shipped,2026-04-18
O-5100,C-188,2026-04-28,sku-1049,Home,3,89.99,payment,
O-5101,C-149,06-Jun-2026,SKU-1062,Home,2,59.99,payment,
O-5102,C-140,15-Apr-2026,SKU-1036,Electronics,4,39.99,shipped,2026-04-17
O-5103,C-173,26-May-2026,sku-1005,Electronics,4,24.99,shipped,2026-05-29
O-5104,C-133,23-Apr-2026,SKU-1048,Home,4,59.99,shipped,2026-04-25
O-5105,C-104,22-Jun-2026,sku-1074,Apparel,3,39.99,payment,
O-5106,C-207,06-May-2026,SKU-1027,Electronics,2,24.99,cart_created,
O-5107,C-171,27-Apr-2026,SKU-1041,Beauty,1,24.99,shipped,2026-04-30
O-5108,C-163,2026-05-10,sku-1063,Beauty,3,39.99,shipped,2026-05-12
O-5109,C-178,04/28/2026,SKU-1008,Apparel,1,24.99,shipped,2026-05-03
O-5110,C-73,04/16/2026,sku-1077,Beauty,4,12.99,shipped,2026-04-21
O-5111,C-7,2026-05-05,sku-1023,Apparel,1,39.99,checkout_started,
O-5112,C-97,2026-05-27,SKU-1066,Electronics,2,89.99,shipped,2026-06-01
O-5113,C-172,2026-05-13,SKU-1057,Home,1,39.99,shipped,2026-05-14
O-5114,C-194,30-Apr-2026,SKU-1012,Apparel,4,89.99,shipped,2026-05-04
O-5115,C-200,06/02/2026,SKU-1061,Apparel,3,24.99,checkout_started,
O-5116,C-152,04/14/2026,SKU-1027,Electronics,3,59.99,shipped,2026-04-16
O-5117,C-49,05-Apr-2026,sku-1044,Home,2,39.99,shipped,2026-04-10
O-5118,C-104,12-May-2026,SKU-1066,Electronics,3,39.99,shipped,2026-05-17
O-5119,C-162,06/26/2026,SKU-1006,Apparel,3,12.99,shipped,2026-07-01
O-5120,C-211,05/01/2026,SKU-1032,Electronics,2,39.99,shipped,2026-05-06
O-5121,C-118,2026-05-23,SKU-1047,Electronics,1,59.99,checkout_started,
O-5122,C-37,2026-06-24,SKU-1002,Home,4,59.99,checkout_started,
O-5123,C-108,04/23/2026,SKU-1024,Beauty,4,24.99,payment,
O-5124,C-58,04/23/2026,SKU-1079,Apparel,3,89.99,payment,
O-5125,C-116,05/07/2026,SKU-1008,Electronics,4,89.99,shipped,2026-05-09
O-5126,C-175,2026-05-11,SKU-1017,Beauty,4,24.99,shipped,2026-05-14
O-5127,C-90,2026-04-16,SKU-1003,Electronics,3,59.99,shipped,2026-04-19
O-5128,C-13,05/09/2026,SKU-1064,Apparel,1,12.99,checkout_started,
O-5129,C-39,29-Apr-2026,SKU-1060,Electronics,1,12.99,cart_created,
O-5130,C-51,2026-04-03,SKU-1000,Home,4,59.99,cart_created,
O-5131,C-131,06/20/2026,sku-1035,Beauty,1,24.99,shipped,2026-06-21
O-5132,C-159,30-May-2026,SKU-1043,Beauty,1,39.99,checkout_started,
O-5133,C-78,2026-06-06,SKU-1044,Home,1,59.99,shipped,2026-06-07
O-5134,C-178,2026-04-23,SKU-1028,Apparel,3,59.99,shipped,2026-04-26
O-5135,C-49,2026-06-02,SKU-1003,Electronics,1,39.99,shipped,2026-06-07
O-5136,C-204,05/22/2026,SKU-1012,Electronics,4,12.99,shipped,2026-05-26
O-5137,C-51,18-Jun-2026,SKU-1024,Beauty,4,12.99,cart_created,
O-5138,C-140,2026-05-26,sku-1044,Electronics,4,39.99,shipped,2026-05-30
O-5139,C-186,05-Jun-2026,SKU-1012,Electronics,1,24.99,cart_created,
O-5140,C-102,27-Jun-2026,SKU-1074,Electronics,1,89.99,shipped,2026-07-01
O-5141,C-53,30-May-2026,SKU-1041,Electronics,2,59.99,shipped,2026-06-03
O-5142,C-20,28-May-2026,SKU-1038,Electronics,4,59.99,shipped,2026-05-31
O-5143,C-74,06/07/2026,sku-1068,Apparel,4,89.99,shipped,2026-06-10
O-5144,C-26,06/12/2026,SKU-1058,Home,4,89.99,shipped,2026-06-13
O-5145,C-100,04/17/2026,sku-1055,Apparel,3,24.99,checkout_started,
O-5146,C-68,2026-04-26,SKU-1035,Home,2,24.99,shipped,2026-04-27
O-5147,C-100,04/23/2026,sku-1052,Apparel,2,24.99,cart_created,
O-5148,C-162,05/27/2026,SKU-1067,Apparel,3,12.99,cart_created,
O-5149,C-168,25-May-2026,SKU-1062,Electronics,1,59.99,cart_created,
O-5150,C-174,03-May-2026,SKU-1021,Home,2,12.99,cart_created,
O-5151,C-34,2026-06-15,sku-1079,Beauty,3,24.99,shipped,2026-06-17
O-5152,C-59,25-Jun-2026,sku-1037,Electronics,4,39.99,cart_created,
O-5153,C-189,27-Jun-2026,SKU-1000,Apparel,2,39.99,shipped,2026-07-01
O-5154,C-41,2026-04-30,SKU-1010,Electronics,3,24.99,shipped,2026-05-02
O-5155,C-82,2026-06-04,SKU-1015,Home,3,39.99,checkout_started,
O-5156,C-13,05/12/2026,SKU-1028,Electronics,3,24.99,shipped,2026-05-14
O-5157,C-209,04-Apr-2026,SKU-1017,Apparel,3,59.99,shipped,2026-04-07
O-5158,C-92,24-Jun-2026,sku-1059,Electronics,1,59.99,shipped,2026-06-28
O-5159,C-117,2026-05-17,SKU-1079,Home,4,12.99,checkout_started,
O-5160,C-181,25-Jun-2026,SKU-1005,Apparel,1,24.99,cart_created,
O-5161,C-72,05/05/2026,SKU-1022,Apparel,4,59.99,shipped,2026-05-07
O-5162,C-175,06/29/2026,SKU-1002,Electronics,2,89.99,shipped,2026-07-04
O-5163,C-27,15-Jun-2026,SKU-1025,Beauty,2,59.99,shipped,2026-06-20
O-5164,C-8,04/09/2026,SKU-1064,Apparel,4,24.99,shipped,2026-04-14
O-5165,C-77,11-Jun-2026,sku-1052,Apparel,4,59.99,shipped,2026-06-15
O-5166,C-59,05/11/2026,SKU-1022,Apparel,2,89.99,cart_created,
O-5167,C-92,2026-06-08,SKU-1014,Home,2,24.99,shipped,2026-06-09
O-5168,C-181,05/25/2026,SKU-1029,Beauty,3,24.99,shipped,2026-05-28
O-5169,C-116,23-May-2026,SKU-1053,Electronics,4,12.99,shipped,2026-05-28
O-5170,C-84,15-Apr-2026,SKU-1018,Electronics,4,24.99,payment,
O-5171,C-16,2026-04-07,SKU-1004,Electronics,3,24.99,shipped,2026-04-10
O-5172,C-74,2026-04-17,SKU-1009,Electronics,2,39.99,shipped,2026-04-19
O-5173,C-100,29-Jun-2026,SKU-1035,Beauty,4,89.99,checkout_started,
O-5174,C-78,2026-05-29,sku-1073,Electronics,4,39.99,shipped,2026-05-31
O-5175,C-15,06/17/2026,SKU-1058,Electronics,2,12.99,shipped,2026-06-21
O-5176,C-164,05/11/2026,SKU-1009,Home,1,89.99,shipped,2026-05-16
O-5177,C-14,2026-06-18,SKU-1039,Home,3,24.99,shipped,2026-06-23
O-5178,C-54,2026-06-02,SKU-1043,Home,2,59.99,checkout_started,
O-5179,C-27,2026-05-23,SKU-1042,Beauty,2,89.99,shipped,2026-05-28
O-5180,C-5,02-Jun-2026,sku-1063,Apparel,3,39.99,shipped,2026-06-07
O-5181,C-132,2026-05-16,sku-1044,Electronics,1,89.99,shipped,2026-05-20
O-5182,C-156,06/18/2026,SKU-1048,Apparel,1,12.99,shipped,2026-06-19
O-5183,C-68,2026-04-17,SKU-1068,Apparel,4,59.99,shipped,2026-04-19
O-5184,C-37,2026-04-18,SKU-1007,Electronics,2,39.99,shipped,2026-04-20
O-5185,C-160,04-Apr-2026,SKU-1048,Beauty,1,59.99,payment,MISSING
O-5186,C-72,22-Apr-2026,SKU-1079,Beauty,2,39.99,shipped,2026-04-23
O-5187,C-85,05/26/2026,SKU-1044,Apparel,4,12.99,shipped,2026-05-28
O-5188,C-185,04/10/2026,SKU-1060,Apparel,4,89.99,checkout_started,
O-5189,C-216,2026-04-24,SKU-1005,Apparel,2,39.99,checkout_started,
O-5190,C-94,04/29/2026,SKU-1033,Apparel,4,59.99,shipped,2026-05-03
O-5191,C-16,29-May-2026,SKU-1016,Electronics,1,59.99,shipped,2026-06-02
O-5192,C-66,2026-06-29,SKU-1075,Apparel,4,89.99,cart_created,
O-5193,C-94,05/20/2026,SKU-1004,Apparel,4,39.99,payment,
O-5194,C-195,25-Jun-2026,SKU-1071,Apparel,1,59.99,shipped,2026-06-26
O-5195,C-102,06-Apr-2026,SKU-1073,Home,2,24.99,shipped,2026-04-08
O-5196,C-132,2026-04-04,SKU-1055,Electronics,1,12.99,shipped,2026-04-06
O-5197,C-65,10-May-2026,SKU-1036,Beauty,-1,12.99,payment,
O-5198,C-185,2026-04-07,sku-1078,Home,4,39.99,shipped,2026-04-10
O-5199,C-86,24-Apr-2026,SKU-1000,Electronics,2,59.99,shipped,2026-04-25
O-5200,C-116,06/20/2026,SKU-1047,Electronics,2,59.99,shipped,2026-06-25
O-5201,C-44,06/01/2026,SKU-1023,Electronics,4,89.99,shipped,2026-06-06
O-5202,C-15,18-May-2026,sku-1038,Apparel,1,12.99,payment,
O-5203,C-152,23-Jun-2026,sku-1060,Beauty,3,59.99,shipped,2026-06-24
O-5204,C-153,19-Jun-2026,SKU-1020,Apparel,3,89.99,shipped,2026-06-24
O-5205,C-36,05/31/2026,SKU-1004,Apparel,4,24.99,shipped,2026-06-03
O-5206,C-128,04/06/2026,SKU-1055,Beauty,1,39.99,shipped,2026-04-11
O-5207,C-118,04/26/2026,SKU-1027,Apparel,4,59.99,shipped,2026-05-01
O-5208,C-20,2026-06-27,SKU-1062,Home,4,39.99,shipped,2026-06-29
O-5209,C-75,2026-05-05,SKU-1014,Electronics,3,39.99,shipped,2026-05-07
O-5210,C-32,24-Apr-2026,SKU-1066,Home,2,12.99,shipped,2026-04-28
O-5211,C-75,06/28/2026,SKU-1012,Apparel,1,89.99,shipped,2026-06-30
O-5212,C-211,05/22/2026,SKU-1068,Apparel,1,39.99,shipped,2026-05-27
O-5213,C-47,2026-05-29,SKU-1015,Electronics,3,89.99,shipped,2026-06-02
O-5214,C-61,06/09/2026,sku-1054,Beauty,4,12.99,shipped,2026-06-13
O-5215,C-92,10-Jun-2026,SKU-1047,Beauty,3,12.99,shipped,2026-06-14
O-5216,C-121,2026-05-03,SKU-1020,Beauty,1,24.99,shipped,2026-05-08
O-5217,C-34,2026-06-09,SKU-1028,Beauty,3,89.99,shipped,2026-06-12
O-5218,C-152,19-May-2026,SKU-1003,Electronics,3,12.99,shipped,2026-05-22
O-5219,C-112,13-Apr-2026,SKU-1002,Home,-2,39.99,shipped,2026-04-18
O-5220,C-98,04/13/2026,SKU-1000,Apparel,3,59.99,payment,
O-5221,C-72,2026-05-15,SKU-1025,Home,1,39.99,shipped,2026-05-19
O-5222,C-7,2026-05-12,sku-1055,Apparel,4,59.99,payment,
O-5223,C-144,05/13/2026,SKU-1019,Apparel,1,89.99,shipped,2026-05-16
O-5224,C-136,2026-05-13,SKU-1030,Home,4,59.99,shipped,2026-05-14
O-5225,C-17,05-May-2026,sku-1064,Electronics,1,12.99,shipped,2026-05-07
O-5226,C-89,2026-04-19,SKU-1028,Beauty,1,59.99,shipped,2026-04-20
O-5227,C-82,13-Jun-2026,SKU-1050,Home,2,89.99,checkout_started,
O-5228,C-108,31-May-2026,SKU-1075,Apparel,3,12.99,shipped,2026-06-03
O-5229,C-77,30-May-2026,SKU-1011,Electronics,1,39.99,payment,
O-5230,C-181,27-Apr-2026,SKU-1024,Beauty,1,89.99,shipped,2026-04-30
O-5231,C-157,23-May-2026,SKU-1028,Electronics,4,24.99,payment,
O-5232,C-109,08-Apr-2026,SKU-1027,Electronics,3,39.99,payment,
O-5233,C-181,04/23/2026,SKU-1014,Beauty,4,89.99,checkout_started,
O-5234,C-160,19-Jun-2026,SKU-1045,Apparel,2,89.99,payment,
O-5235,C-204,06-May-2026,SKU-1005,Apparel,3,24.99,shipped,2026-05-11
O-5236,C-124,04/29/2026,sku-1032,Apparel,4,12.99,payment,
O-5237,C-67,04/07/2026,SKU-1039,Electronics,3,39.99,shipped,2026-04-10
O-5238,C-172,2026-05-23,SKU-1035,Beauty,1,59.99,shipped,2026-05-26
O-5239,C-146,06/16/2026,SKU-1059,Home,2,59.99,shipped,2026-06-17
O-5240,C-86,2026-04-23,SKU-1059,Home,2,12.99,shipped,2026-04-26
O-5241,C-207,2026-04-15,SKU-1070,Home,4,89.99,shipped,2026-04-20
O-5242,C-5,2026-05-05,SKU-1069,Home,3,39.99,shipped,2026-05-10
O-5243,C-213,05/28/2026,SKU-1071,Beauty,4,12.99,checkout_started,
O-5244,C-122,18-May-2026,SKU-1002,Electronics,-4,39.99,shipped,2026-05-21
O-5245,C-172,09-May-2026,SKU-1073,Home,1,12.99,shipped,2026-05-14
O-5246,C-121,06/03/2026,SKU-1012,Home,2,39.99,cart_created,
O-5247,C-67,2026-06-03,SKU-1036,Beauty,1,39.99,shipped,2026-06-06
O-5248,C-169,06/10/2026,SKU-1013,Home,1,89.99,shipped,2026-06-12
O-5249,C-89,06/15/2026,SKU-1002,Beauty,1,89.99,shipped,2026-06-16
O-5250,C-135,05/18/2026,SKU-1069,Apparel,2,39.99,shipped,2026-05-22
O-5251,C-179,05/11/2026,sku-1025,Beauty,1,24.99,shipped,2026-05-15
O-5252,C-144,2026-04-05,SKU-1012,Electronics,1,39.99,shipped,2026-04-09
O-5253,C-23,04/11/2026,SKU-1041,Home,4,24.99,checkout_started,
O-5254,C-184,23-May-2026,SKU-1060,Electronics,4,12.99,shipped,2026-05-26
O-5255,C-78,08-Apr-2026,SKU-1036,Electronics,3,59.99,shipped,2026-04-13
O-5256,C-27,25-May-2026,SKU-1060,Home,1,24.99,shipped,2026-05-29
O-5257,C-46,2026-06-21,SKU-1051,Electronics,1,39.99,checkout_started,
O-5258,C-24,04/26/2026,sku-1003,Beauty,4,59.99,shipped,2026-04-29
O-5259,C-215,26-Jun-2026,SKU-1023,Apparel,4,24.99,cart_created,
O-5260,C-167,17-Jun-2026,SKU-1066,Electronics,2,24.99,payment,
O-5261,C-11,05/04/2026,SKU-1051,Electronics,3,39.99,payment,
O-5262,C-169,2026-06-19,SKU-1060,Electronics,1,24.99,shipped,2026-06-20
O-5263,C-206,05/08/2026,SKU-1049,Home,2,59.99,shipped,2026-05-10
O-5264,C-70,06/28/2026,SKU-1076,Electronics,2,12.99,shipped,2026-06-30
O-5265,C-8,05/29/2026,sku-1033,Beauty,3,59.99,shipped,2026-05-31
O-5266,C-32,06/22/2026,sku-1071,Home,1,24.99,payment,
O-5267,C-121,2026-04-09,sku-1042,Home,2,24.99,checkout_started,
O-5268,C-125,2026-06-03,SKU-1032,Electronics,1,59.99,checkout_started,
O-5269,C-45,06/27/2026,SKU-1048,Apparel,2,24.99,checkout_started,
O-5270,C-212,14-May-2026,sku-1034,Electronics,2,12.99,shipped,2026-05-16
O-5271,C-148,18-Jun-2026,SKU-1032,Apparel,1,39.99,shipped,2026-06-19
O-5272,C-219,2026-06-18,SKU-1026,Electronics,1,12.99,shipped,2026-06-22
O-5273,C-105,2026-04-16,SKU-1069,Home,3,24.99,cart_created,
O-5274,C-194,21-May-2026,SKU-1055,Electronics,3,24.99,checkout_started,
O-5275,C-217,2026-04-15,SKU-1056,Apparel,4,59.99,cart_created,
O-5276,C-204,06/11/2026,SKU-1022,Apparel,1,12.99,shipped,2026-06-16
O-5277,C-115,17-May-2026,sku-1062,Apparel,1,24.99,shipped,2026-05-19
O-5278,C-25,06/27/2026,SKU-1019,Home,4,89.99,shipped,2026-06-28
O-5279,C-41,2026-05-22,SKU-1043,Home,4,12.99,payment,
O-5280,C-157,18-Apr-2026,SKU-1020,Electronics,3,89.99,shipped,2026-04-20
O-5281,C-109,06/04/2026,SKU-1013,Apparel,3,89.99,checkout_started,
O-5282,C-201,06/11/2026,SKU-1043,Electronics,4,89.99,shipped,2026-06-16
O-5283,C-136,2026-04-19,SKU-1045,Beauty,4,59.99,shipped,2026-04-24
O-5284,C-117,2026-04-08,SKU-1047,Apparel,2,24.99,shipped,2026-04-12
O-5285,C-167,2026-06-20,SKU-1006,Beauty,2,59.99,payment,
O-5286,C-163,10-May-2026,sku-1061,Electronics,1,39.99,shipped,2026-05-12
O-5287,C-141,05/06/2026,SKU-1009,Home,2,39.99,checkout_started,
O-5288,C-216,04/21/2026,sku-1063,Beauty,1,12.99,payment,
O-5289,C-98,2026-04-22,SKU-1024,Home,4,59.99,shipped,2026-04-25
O-5290,C-195,01-Jun-2026,SKU-1016,Home,4,12.99,shipped,2026-06-03
O-5291,C-34,06/17/2026,SKU-1065,Beauty,2,24.99,shipped,2026-06-18
O-5292,C-82,2026-04-13,SKU-1040,Apparel,1,39.99,shipped,2026-04-15
O-5293,C-212,04/06/2026,SKU-1073,Apparel,-2,89.99,shipped,2026-04-09
O-5294,C-134,30-May-2026,SKU-1043,Beauty,2,24.99,shipped,2026-05-31
O-5295,C-70,2026-04-28,sku-1019,Beauty,4,24.99,shipped,2026-05-01
O-5296,C-187,05/06/2026,SKU-1037,Home,4,89.99,shipped,2026-05-07
O-5297,C-206,04/29/2026,sku-1010,Beauty,2,24.99,checkout_started,
O-5298,C-156,2026-05-28,SKU-1015,Electronics,1,39.99,shipped,2026-06-01
O-5299,C-2,23-Apr-2026,SKU-1014,Home,2,39.99,shipped,2026-04-27
O-5300,C-202,25-Apr-2026,SKU-1050,Home,4,89.99,shipped,2026-04-27
O-5301,C-119,18-Apr-2026,SKU-1026,Electronics,2,89.99,checkout_started,
O-5302,C-126,06/02/2026,SKU-1009,Beauty,1,39.99,checkout_started,
O-5303,C-16,2026-04-28,SKU-1004,Apparel,3,24.99,shipped,2026-04-29
O-5304,C-74,2026-06-04,SKU-1066,Apparel,1,12.99,shipped,2026-06-09
O-5305,C-73,04/17/2026,SKU-1047,Beauty,2,89.99,checkout_started,
O-5306,C-132,2026-06-24,SKU-1037,Apparel,1,59.99,shipped,2026-06-25
O-5307,C-39,2026-06-12,SKU-1018,Electronics,3,39.99,cart_created,
O-5308,C-80,2026-06-18,SKU-1078,Electronics,-3,89.99,cart_created,
O-5309,C-32,2026-04-03,SKU-1060,Beauty,1,12.99,checkout_started,
O-5310,C-122,04/03/2026,SKU-1011,Beauty,1,24.99,checkout_started,
O-5311,C-178,05/22/2026,sku-1020,Beauty,4,59.99,checkout_started,
O-5312,C-215,2026-04-01,SKU-1051,Apparel,1,59.99,shipped,2026-04-02
O-5313,C-56,24-May-2026,SKU-1028,Home,3,59.99,shipped,2026-05-25
O-5314,C-64,25-Apr-2026,SKU-1001,Electronics,3,12.99,shipped,2026-04-30
O-5315,C-37,04/18/2026,SKU-1011,Home,2,24.99,shipped,2026-04-22
O-5316,C-30,04/15/2026,SKU-1008,Apparel,1,24.99,checkout_started,
O-5317,C-26,2026-06-04,SKU-1057,Beauty,4,39.99,shipped,2026-06-05
O-5318,C-122,04/28/2026,SKU-1023,Home,2,24.99,shipped,2026-05-01
O-5319,C-124,04/08/2026,sku-1075,Apparel,1,12.99,shipped,2026-04-10
O-5320,C-110,2026-04-02,SKU-1000,Apparel,2,89.99,cart_created,
O-5321,C-131,26-Jun-2026,SKU-1061,Electronics,2,59.99,checkout_started,
